Date,VTECi1-3
03-01-2015 06:49,75.03560228
03-01-2015 06:52,75.35899894
03-01-2015 06:54,75.61990932
03-01-2015 06:57,75.87669849
03-01-2015 06:59,76.14811257
03-01-2015 07:02,76.43403187
03-01-2015 07:04,76.72156164
03-01-2015 07:07,76.97112025
03-01-2015 07:09,77.20162532
03-01-2015 07:12,77.45059141
03-01-2015 07:14,77.70317236
03-01-2015 07:17,77.93356261
03-01-2015 07:19,78.16219894
03-01-2015 07:22,78.41781024
03-01-2015 07:24,78.69528551
03-01-2015 07:27,78.98798651
03-01-2015 07:29,79.25957635
03-01-2015 07:32,79.53041892
03-01-2015 07:34,79.81797301
03-01-2015 07:37,80.13709858
03-01-2015 07:39,80.48321681
03-01-2015 07:42,80.80671927
03-01-2015 07:44,81.09431351
03-01-2015 07:47,81.39139606
03-01-2015 07:49,81.69604872
03-01-2015 07:52,82.00457913
03-01-2015 07:54,82.31732207
03-01-2015 07:57,82.6281484
03-01-2015 07:59,82.84692223
03-01-2015 08:02,83.05182809
03-01-2015 08:04,83.52174465
03-01-2015 08:07,83.75451405
03-01-2015 08:09,84.02789051
03-01-2015 08:12,84.30253959
03-01-2015 08:14,84.55733051
03-01-2015 08:17,84.58078199
03-01-2015 08:19,85.01876596
03-01-2015 08:22,85.18423354
03-01-2015 08:24,85.32794186
03-01-2015 08:27,85.32794186
03-01-2015 08:29,85.34114452
03-01-2015 08:32,85.34114452
03-01-2015 08:34,85.34114452
03-01-2015 08:37,85.34114452
03-01-2015 08:39,85.19851519
03-01-2015 08:42,85.08155094
03-01-2015 08:44,85.01758675
03-01-2015 08:47,84.81261546
03-01-2015 08:49,84.61076491
03-01-2015 08:52,84.52628608
03-01-2015 08:54,84.23837293
03-01-2015 08:57,84.02391859
03-01-2015 08:59,83.83096702
03-01-2015 09:02,83.62193617
03-01-2015 09:04,83.39470247
03-01-2015 09:07,83.12185908
03-01-2015 09:09,82.83740599
03-01-2015 09:12,82.57797821
03-01-2015 09:14,82.34847723
03-01-2015 09:17,82.12666411
03-01-2015 09:19,81.92825114
03-01-2015 09:22,81.7530712
03-01-2015 09:24,81.55472318
03-01-2015 09:27,81.44716296
03-01-2015 09:29,81.35675704
03-01-2015 09:32,81.22466581
03-01-2015 09:34,81.04794852
03-01-2015 09:37,80.84263715
03-01-2015 09:39,80.6963901
03-01-2015 09:42,80.49827375
03-01-2015 09:44,80.26902402
03-01-2015 09:47,80.10232486
03-01-2015 09:49,80.10232486
03-01-2015 09:52,80.10232486
03-01-2015 09:54,80.10232486
03-01-2015 09:57,80.10232486
03-01-2015 09:59,80.5532764
03-01-2015 10:02,80.58782005
03-01-2015 10:04,80.58782005
03-01-2015 10:07,80.58782005
03-01-2015 10:09,80.58782005
03-01-2015 10:12,80.5532764
03-01-2015 10:14,80.4414072
03-01-2015 10:17,80.29461255
03-01-2015 10:19,80.17483126
03-01-2015 10:22,80.08754201
03-01-2015 10:24,80.0310584
03-01-2015 10:27,79.95445064
03-01-2015 10:29,79.83353187
03-01-2015 10:32,79.66954952
03-01-2015 10:34,79.46227159
03-01-2015 10:37,79.31138127
03-01-2015 10:39,79.20823259
03-01-2015 10:42,79.12274527
03-01-2015 10:44,79.01397547
03-01-2015 10:47,78.87974222
03-01-2015 10:49,78.72444288
03-01-2015 10:52,78.61000516
